,sentences,sentiments
,tesla inc tslao chief executive elon musk delivered the companys first heavy duty semi on thursday to pepsico pepo without offering updated forecasts for the trucks pricing production plans or how much cargo it could haul,positive
,musk who appeared onstage at an event at teslas nevada plant said the battery powered long haul truck would reduce highway emissions outperform existing diesel models on power and safety and spin off a fast charging technology tesla would use in its upcoming cybertruck pickup,positive
,if youre a trucker and you want the most badass rig on the road this is it musk said noting that it was five years since tesla had announced it was developing the all electric truck still industry experts remain skeptical that battery electric trucks can take the strain of hauling hefty loads for hundreds of miles economically,positive
,at musks first tesla reveal since taking over twitter an acquisition some investors worry has become a distraction the company did not announce pricing for the semi provide details on variants of the truck it had initially projected or supply a forecast for deliveries to pepsico or other customers tesla said it would begin using the semi to ship parts to its plant in fremont california,negative
,in tesla had said the mile range version of the semi would cost and the mile version but teslas passenger electric vehicle prices have increased sharply since then,positive
,were among other companies that had reserved the semi tesla did not provide details on orders or deliveries to customers nor an estimate on what the total cost of ownership for future buyers would be compared to diesel alternatives,negative
,tesla did not disclose the weight of an unloaded semi one key specification analysts had hoped to learn and an important consideration for the efficiency of electric trucks,negative
,musk has spoken in the past about the prospect of fully autonomous trucks tesla did not provide details on how teslas driver assistance systems would function in the semi it unveiled on thursday or future versions,negative
,not very impressive moving a cargo of chips average weight per pack grams cannot in any way be said to be definitive proof of concept said oliver dixon senior analyst at consultancy guidehouse,negative
,trucks in semis category represent just of us vehicle sales but of overall vehicle emissions tesla said,positive
,this thing has crazy power relative to a diesel truck musk said basically its like an elephant moving like a cheetah,positive
,the presentation took place after tesla shares closed at the stock has fallen about so far this year losing about billion in market capitalisation down to about billion,negative
,among factors cited by investors have been musks sales of tesla shares to finance his takeover of twitter signs that a slowing global economy has started to cut into demand for teslas premium priced cars and a warning by the company that it might not meet its target to grow deliveries by this year,negative
,general motors co and lg energy solution ltd said friday they are investing another million in their tennessee joint venture battery cell plant to increase production by more than ,positive
,build the strongest argument relying on authoritative content attorney editor expertise and industry defining technology,positive
,the most comprehensive solution to manage all your complex and ever expanding tax and compliance needs,positive
,the industry leader for online information for tax accounting and finance professionals,positive
, access unmatched financial data news and content in a highly customised workflow experience on desktop web and mobile,positive
,your guide to a better future,positive
,the biggest name in electric cars tackles the biggest thing on the road,negative
,most important truck is much bigger the tesla semi heres what its all about and why it matters so much as it hits the road in real use for the first time,positive
,the tesla semi looks more like a bullet than a barn wall as the company says aero styling is nothing new in the big rig business but the semi looks more like the futuristic shell starship than like anything on the road today,positive
,the shell starship shares a lot of cues with the tesla but also imagines a radically different trailer where the tesla semi is optimized for existing trailers as it hits the market,negative
,the wheels though are remarkably ordinary i suspect theres a regulation at play there ,negative
,tesla megachargers are a new kind of charging depot with more space more voltage and more battery storage to charge big truck batteries renewably while cushioning the load on the local power grid prototype semis have been seen charging at superchargers by connecting several charge cables to the truck at once but that seems like a development workaround rather than a go to market suggestion i thought i heard wrong when elon musk said megachargers would be able to deliver a megawatt of power four times the power delivery of the most potent superchargers installed today but it makes sense given the trucks presumed battery capacity,positive
,that juice feeds three motors only one of which is used when cruising while the other two ganged on one of the axles kick in only when acceleration is needed each motor is the same patented type as those in the tesla plaid models you may laugh at to time of seconds but thats impressive from a truck that weighs times a model s plaid and is aimed at efficiency not performance ,positive
,a tesla clip of its truck blowing by a traditional rig on an uphill grade like its tied to a post is a far cry from the usual truck crawling up a grade in the slow lane and tesla says the semis motors develop such stout regen that the truck can get to the bottom of a long grade and still have cool brakes,positive
,tesla is known for its ambitious if overhyped autopilot and full self driving but each of those overlapping driver assistance technologies will find a better home in the semi than in personal cars because professional drivers simply pay more attention to driving and the ability of their vehicle commercial drivers are also subject to vastly deeper training than the rest of us who have a basic drivers license suggesting they would learn to really exploit teslas driver assistance while not overtrusting it tesla has yet to detail the driver assistance technologies that will be available on the semi and how theyll differ from that on their cars ,positive
,according to tesla conventional big rigs are few but vastly over index on pollution ,negative
,just six months ago facebook owner meta was urging canadian workers to join the tech giants quest to build the metaverse with plans to add thousands of jobs in the country in a bid to aggressively scale its virtual reality ambitions,positive
,today meta and other tech companies occupy a different shared reality going through waves of layoffs that experts say are an omen of a looming recession,negative
,meta to face antitrust charges in europe over customer data use sources say ,negative
,meta ceo mark zuckerberg announced in a letter to employees wednesday that the company would cut per cent of its global workforce equating to roughly jobs,negative
,this marks the companys first major round of mass layoffs in its history and an about face from aggressive hiring plans during the pandemic metas headcount grew per cent from mid to mid according to quarterly filings,negative
,canada was one market the company had tapped for expansion announcing plans to hire people nationally at an event with ontario premier doug ford in toronto this past march,positive
,metas plans to hire in canada have the tech sector worried,negative
,when asked by global news how many positions in canada would be affected or how many staff the company employs in the country meta spokespersons would not say and instead pointed to public statements about the layoffs that did not include that information,negative
,but canadian staff in the companys creative partnerships client relations and human resources departments all posted about their layoffs on linkedin wednesday,negative
,zuckerberg cited a lower revenue forecast tied in part to lower advertising dollars coming through the door and misguided bets that the future of ecommerce would keep its pandemic momentum reasons for metas downsizing,negative
,not only has online commerce returned to prior trends but the macroeconomic downturn increased competition and ads signal loss have caused our revenue to be much lower than id expected he wrote in a statement wednesday,negative
,i got this wrong and i take responsibility for that,negative
,zuckerberg said the company would be shrinking its real estate footprint and reducing perks in addition to the job cuts he wrote that the company is shifting its resources to high priority growth areas including the long term vision for the metaverse,negative
,meta once worth more than us trillion is now valued at us billion after losing more than per cent of its value this year alone,negative
,meta shares rose five per cent on wednesday as investors cheered caution by a company that has been pinning its future on the metaverse with pricey investments that zuckerberg himself says will take a decade to bear fruit,positive
,but that vision for a virtual world where the meta ceo pitched users living working and playing online has been flagged as a risky venture by analysts,negative
,the need to sink resources into the metaverse to achieve zuckerbergs ambition is part of the reason metas stock has dwindled and its profitability has taken a hit according to daniel tsai a lecturer in business law and technology at university of toronto and toronto metropolitan university,negative
,this overinvestment on innovative but highly questionable technology which hasnt been popularized yet is turning out to be a bad bet when theyre bleeding that much money tsai tells global news,negative
,and they have to respond by making deep cuts,negative
,technology analyst carmi levy says the metaverse project might one day be a light at the end of the tunnel for metas current financial woes but its not there yet,positive
,the company needs to stabilize its current social media business before going all in on an unproven concept he says,negative
,the metaverse just doesnt show the promise that mark zuckerberg promises it will and as a result were seeing the company cut back theyve got to reduce their spending while they navigate this very difficult period in its history levy says,negative
,the meta founders letter rings familiar to those following similar market trends in canada and beyond as fears of a recession bubble up,negative
,netflix microsoft snap and canadas hootsuite and wealthsimple have been among the notable names cutting jobs and joining the widespread tech downturn this year,negative
,like zuckerburg shopify ceo tobi lutke cited a miscalculation in post pandemic ecommerce trends as reasons for the ottawa based companys layoffs in july,positive
,shopify shares surge as execs chart path back to profitability following layoffs,positive
,tsai says these tech executives miscalculated when they saw rapid online adoption during economic lockdowns the lifting of pandemic restrictions saw a rush of demand for in person services such as travel and dining out which tsai says was proof these big tech bets were either premature or flat out wrong,negative
,people still want real world experiences people still want to touch feel experience and speak to real human beings without going through an electronic metaverse interface he says,negative
,i think that remains to be seen if that bets going to work but this is a telltale sign its failing right now,negative
,levy says the broader industry trend of cutbacks or hiring freezes right now is a precursor for downturns elsewhere in the economy,negative
,more layoffs ahead for canadian tech sector elevate conference speakers warn ,negative
,when we start seeing declines and cutbacks from major tech players thats a sign that the wider economy is bracing for harsher weather he said,negative
,technology is that bellwether sector in the economy because its usually the first thing that we stop buying when we start getting nervous about our economic futures levy said,negative
,as big tech companies start to resize themselves for this new reality other sectors should be watching and paying attention,negative
,meta is not the only social media platform downsizing twitters new owner elon musk slashed the companys workforce when he took over late last month,negative
,musk like zuckerberg has been vocal about the need to attract advertisers back to the platform and find new sources of revenue for twitter to remain a going concern,negative
,that will be no easy task in the months ahead tsai notes as advertising dollars become scarce in a recession,negative
,companies looking to advertise on social media platforms are also increasingly turning away from the feeds of facebook and twitter and more to tiktok he says where a younger audience is engaged with short quick and entertaining content,negative
,levy agrees with tsai that both twitter and meta will have to step up to compete with the tiktok juggernaut,negative
,levy says that declining subscriber counts are affecting facebooks ability to generate strong ad revenue while the controversy of twitters new ownership the technological equivalent of a dumpster fire as he calls it could make advertisers leery of being on the platform,negative
,the good times are over for social media he says for years they could count on fast increasing user counts that the level of engagement continued to go up we were spending more and more time in our feeds we were much more engaged and advertisers of course love that,negative
,twitter other social media sites could see spike in election misinformation ,negative
,as difficult as the layoffs and growing pains are for these social media giants levy says that if they are to survive theyll have to adapt their products to better serve their end users by delivering more relevant content and ads a strength of tiktoks algorithm he notes,positive
,i think long term it is going to force these companies to maybe up their game and well end up with something better than what weve got right now levy says,positive
,meta platforms reportedly fired or disciplined more than two dozen employees and contractors who allegedly compromised and took control of facebook user accounts the wall street journal reported thursday,negative
,bribery was involved in some cases the journal reported citing sources and documents,negative
,individuals selling fraudulent services are always targeting online platforms including ours and adapting their tactics in response to the detection methods that are commonly used across the industry meta communications director andy stone told cnbc,negative
,according to the report some of the fired workers were employed as allied universal contractors providing security for meta facilities who were given access to internal employee tools to assist company employees,negative
,people should never buy or sell accounts or pay for an account recovery service because doing so violates our terms stone said we also regularly update our security measures to address this kind of activity and will keep taking appropriate action against those involved in these kinds of schemes,negative
,allied universal did not immediately respond to a request for comment,negative
,spacex has bought an advertising package on twitter for its satellite internet service starlink said elon musk who owns the rocket company and the social media platform that is seeing an exodus of advertisers,negative
,twitter which generated more than per cent of its second quarter revenue from ad sales has seen advertisers flee on fears that musk would change the companys content moderation rules,negative
,twitter cuts outsourced content moderators as musk further guts misinformation team ,negative
,the chief executive of tesla inc and spacex had last week told advertisers that he aimed to turn the social media platform to pursue truth and put an end to fake accounts,positive
,he also raised the possibility of twitter going bankrupt days after disclosing that the platform had seen a massive drop in revenue and blamed activist groups pressuring advertisers,negative
,a platformer reporter said on monday citing an internal email that twitter has locked down its code base freezing any production changes to its systems until further notice,negative
,meanwhile tesla shares fell four per cent after musk said he had too much work on his plate with investors worrying he is too preoccupied with the social media platform when the worlds most valuable automaker is facing production hurdles and rising competition,negative
,the doors are officially open at googles new and spacious office in montreal as part of the tech giants ongoing expansion in canada,positive
,the new workplace on viger street which spans five floors was inaugurated wednesday the opening comes less than two years after the announcement that the company was going to bolster its presence in the country with three new offices in quebec and ontario,positive
,google to build new offices in toronto montreal kitchener ,positive
,google first came to the country in three years later the first montreal office opened with only a trio of workers in february it announced it was growing the citys office with this space,positive
,now the latest location will house different teams within the company that work on a variety of different google projects the tech giant accounts for about employees in the city but the workplace can accommodate up to people,positive
,the company also has options to lease more space in the building if necessary,positive
,this is a new office that were gathering people some of the best and brightest minds to build products for the world she said,positive
,but its also about investing in the community we want to see montreal grow and retain its world leading status as a pillar of technological development,positive
,wall street closed sharply higher capping another strong week with gains led by apple and other companies that made even bigger profits during the summer than expected,positive
,the sp rose friday and marked its first back to back weekly gain since august stocks have revived recently partly on hopes for a dialing down later this year of the big interest rate hikes that have been shaking the market,positive
,more recently many big us companies have been reporting stronger earnings than expected though the bag remains decidedly mixed apple intel and gilead sciences jumped following strong reports which helped offset a discouraging forecast from amazon,positive
,one reason that stocks have revived recently is hopes for a pivot by the federal reserve where the central bank dials down the big interest rate hikes that have shaken the market such a move could boost the market but many analysts say such hopes may be overdone,negative
,this rally has now gotten a bit irrational and fragile at this level said liz young chief investment strategist at sofi,negative
,park your money as recession fears ratchet up ,negative
,the central bank has been very clear about its plan to err on the side going too far in order to tame inflation she said which means the big gains on hopes of a pullback seem premature,negative
,more recently many big us companies have been reporting stronger earnings than expected though the bag remains decidedly mixed,positive
,apple rose and was the strongest force lifting the sp in its first trading after reporting fatter revenue and profit than expected for the latest quarter intel jumped after delivering much bigger profit than analysts forecasted even though it said it saw worsening economic conditions,positive
,gilead sciences soared and tmobile us gained after they also topped wall streets profit expectations,positive
,they helped to offset a drop for amazon which offered a weaker than expected forecast for upcoming revenue it was the latest big tech company to take a beating this week after reporting some discouraging trends its a sharp turnaround after the group dominated wall street for years with seemingly unstoppable growth,negative
,earlier in the week meta platforms lost nearly a quarter of its value after reporting a second straight quarter of revenue decline amid falling advertising sales and stiff competition from tiktok microsoft and googles parent company also reported slowdowns in key areas,negative
,such woes have created a sharp split on wall street this week between lagging big tech stocks and the rest of the market the nasdaq which is stuffed with high growth tech stocks is on track for a gain of this week it would have an even worse showing if not for apples boost from friday the dow meanwhile is roaring toward a jump for the week because it has less of an emphasis on tech,negative
,rising interest rates have hit big tech stock prices harder than the rest of the market and the pressure increased friday as yields climbed,negative
,the markets still seem to not want to believe that we might end up in a place where an earnings recession is possible young said,negative
,data released in the morning showed the raises that us workers got in wages and other compensation during the summer was in line with economists expectations that should keep the fed on track to keep hiking rates sharply in hopes of weakening the job market enough to undercut the nations high inflation other data showed the feds preferred measure of inflation remains very high and us households continue to spend more in the face of it,positive
,the fed is trying to starve inflation of the purchases made by households and businesses needed to keep it high its doing that by intentionally slowing the economy and the jobs market the worry is that it could go too far and cause a sharp downturn,negative
,the fed has already raised its benchmark overnight interest rate up to a range of to up from virtually zero in march the widespread expectation is for it to push through another increase thats triple the usual size next week before it potentially makes a smaller increase in december higher rates not only slow the economy they also hurt prices for stocks and other investments,positive
,the yield on the two year treasury which tends to track expectations for fed action rose to from late thursday,positive
,the year yield which helps set rates for mortgages and many other loans climbed to from ,positive
,becoming meta facebooks parent company has lost us billion in market value ,negative
,trading in twitters stock has ended after elon musk has taken control of the company following a lengthy legal battle,negative
,in europe stock indexes were mixed in relatively muted trading,negative
,shares fell in tokyo even as the government approved a massive stimulus spending package to help the worlds no economy cope with inflation as expected the bank of japan wrapped up a policy meeting by keeping its ultra lax monetary policy unchanged even as it forecast higher inflation,negative
,amazoncom inc on wednesday said it has laid off some employees in its devices group as a person familiar with the company said it still targeted around job cuts including in its retail division and human resources,negative
,the announcement amazons first since media outlets including reuters reported its layoff plans on monday heralded a dramatic shift for a company known for its job creation and added shape to the latest dismissals befalling the technology sector,negative
,we continue to face an unusual and uncertain macroeconomic environment he said in light of this weve been working over the last few months to further prioritize what matters most to our customers and the business,negative
,plans still in flux to eliminate around roles through reductions in more units would amount to about a cut in amazons roughly person corporate workforce,negative
,for years the online retailer aimed to make alexa the voice assistant that powers gadgets it sells ubiquitous and present to place any shopping order even though it was unclear how widely users have embraced it for more complex tasks than checking the news or weather,positive
,a project inspired by a talking computer in science fiction show star trek alexa had garnered headcount that grew to people by ,positive
,at the time amazon touted sales of more than million alexa devices a figure it has not since refreshed publicly founder jeff bezos later said the company often sold alexa devices at a discount and sometimes below cost,positive
,following the layoff news shares pared losses and were down about on wednesday afternoon,negative
,for amazon the cuts sharply contrast with efforts months ago to double its base pay ceiling to compete more aggressively for talent,positive
,in september last year it had marketed corporate roles globally during a career fair an increase dwarfed only by hiring in amazons fulfillment centers in short order the online bookseller that bezos envisioned on a road trip not years before had become americas second largest private employer with more than million workers including warehouse staff,positive
,the turn has been abrupt the retailer is now responding to sales that could rise as little as this holiday season compared with a increase two years ago amazons chief financial officer told reporters last month that consumers had tighter budgets in the face of inflation and higher fuel costs,negative
,its cloud computing division a profit engine for the company likewise has increased revenue more slowly quarter after quarter in the past year when adjusted for foreign exchange,positive
,andy jassy who ascended to the role of ceo in has focused on cutting costs and stemming amazons share price drop this year to date,positive
,under his tenure amazon announced the end of its virtual healthcare service for employers and pruning of its much hyped autonomous sidewalk delivery program it froze incremental corporate hiring as well,negative
,in the latest fallout from ftxs rapid collapse last week the lending arm of the crypto investment bank genesis global trading is pausing new loan originations and redemptions the company announced in a thread of tweets wednesday,negative
,the lending arm of the bank serves an institutional client base and is known as genesis global capital at the end of its third quarter it had more than billion in total active loans according to the companys website,positive
,our priority is to serve our clients and preserve their assets,positive
,at around noon eastern time reports surfaced that gemini services were offline the company said it experienced an amazon web services outage on one of its primary databases and that it was working to bring the exchange back up,negative
,our spot and derivatives trading and custody businesses remain fully operational a genesis spokesperson told cnbc with regards to lending our number one priority is to serve our clients and preserve their assets therefore we have taken the difficult decision to temporarily suspend redemptions and new loan originations in the lending business we are working diligently to shore up the necessary liquidity to meet our lending client obligations,negative
,its been a bad year for tech but top investor paul meeks is betting on these bright spots,negative
,leon cooperman calls alphabet an ideal holding that is very cheap,positive
,big tech is set for a comeback asset manager says naming stocks to get ahead of it,positive
,the decision reflects a sign of contagion outside of blockfi which is reportedly preparing for a potential bankruptcy filing according to the wall street journal the cryptocurrency lender had already halted withdrawals of customer deposits and admitted that it has significant exposure to the now bankrupt crypto exchange ftx and its sister trading house alameda research,negative
,a representative from blockfi did not immediately respond to requests for comment,negative
,in a matter of days ftx went from a billion valuation to bankruptcy as liquidity dried up customers demanded withdrawals and rival exchange binance ripped up its nonbinding agreement to buy the company ftx founder bankman fried admitted last week that he f ed up,negative
,ftx may have more than million creditors according to an updated bankruptcy filing tuesday hinting at the huge impact of its collapse on crypto traders,negative
,netflix inc reversed customer losses and provided a slightly more bullish outlook than wall street expected projecting a new ad supported streaming option would help attract million subscribers by years end,positive
,shares of netflix jumped per cent in after hours trading on tuesday to the companys stock an investor favorite during its years of rapid growth had fallen nearly this year before the earnings report,positive
,from july through september netflix attracted million new subscribers worldwide more than double the million consensus forecast of analysts polled by refinitiv,positive
,the streaming giant is working to kick start membership growth after a sudden decline in the first half of the year when the companys subscriber base shrunk by million amid a rocky global economy and growing competition for online video viewers netflix now has a total of million subscribers around the world,positive
,most established services have stopped growing in the united states where the market has reached maturity newer entrants such as paramount globals paramont are picking up market share thanks to live sports programming,positive
,in its quarterly letter to shareholders netflix noted that rival media companies are losing money as they try to attract streaming viewers,positive
,our competitors are investing heavily to drive subscribers and engagement but building a large successful streaming business is hard the letter said,negative
,netflix estimated that competitors would end with combined operating losses of well over billion compared with netflixs annual operating profit of billion to billion,positive
,for the third quarter netflix topped wall street projections with revenue of billion up per cent from a year earlier earnings were per share,positive
,the companys forecast of million customer pickups by the end of came in slightly ahead of wall street estimates which had averaged million for the fourth quarter netflix is projecting revenue of billion a sequential decline it blamed on the strong value of the us dollar,positive
,netflix is launching a per month streaming plan with advertising in early november to attract cost conscious customers a move executives had long resisted walt disney co warner bros discovery and other companies also offer or plan to offer ad supported options in the battle for audiences,positive
,while netflix is making various changes to propel growth the company said it remained committed to releasing all episodes at once to allow binge watching,positive
,we believe the ability for our members to immerse themselves in a story from start to finish increases their enjoyment but also their likelihood to tell their friends which then means more people watch join and stay with netflix the company said,positive
,another year another netflix price increase,negative
,at least thats how it might feel for canadians after the global streaming platform announced last week its inching up the cost of its most popular subscription packages once again by a dollar or two per month,negative
,on friday netflix said the price for its standard plan which includes high definition video and two simultaneous streams will rise to per month while the premium package with ultra hd access and four streams is going up to ,negative
,canadians will now have to pay more for standard premium netflix plans ,negative
,the basic plan with standard definition video remains unchanged at ,positive
,while netflix isnt the only streaming giant to hike prices its done so the most frequently which leads london ont based analyst carmi levy to wonder if the company is testing how much more it can charge,negative
,other streaming companies have jacked up prices amid the pandemic too,negative
,levy suggests no matter which platform boosts its price the move itself is bound to make even longtime subscribers reflect on their bills,negative
,consumers are going to be looking at their streaming budgets and asking themselves why theyve committed to more than one service on an ongoing basis and theyre going to start to pull back he said,negative
,amazon plans to lay off as many as employees across the company in the coming months including distribution center workers technology staff and corporate executives about twice as many as previously reported as the retail and cloud computing giant retrenches after going on a hiring spree during the pandemic,negative
,amazon employees are ranked from level to level and staff at all levels will likely be affected according to sources with direct knowledge of the matter who requested anonymity the new york times first reported in mid november that amazon would enact mass layoffs citing sources that said that as many as people would be laid off,negative
,company managers over the last few days however have been told that they should try to identify work performance problems among employees as part of an effort to lay off about people according to sources twenty thousand employees are the equivalent of about of corporate staff and about of amazons total million strong workforce including global distribution center and hourly workers,negative
,corporate staff have been told that employees will receive a hour notice and severance pay in accordance with their company contracts there is a sense of fear among employees in the company as the news has come out said one source who was told directly about the layoff effort the layoffs would be the largest staff reduction in the companys history,negative
,there is no specific department or location mentioned for the cuts it is across the business we were told this is as a result of over hiring during the pandemic and the need for cost cutting as the companys financials have been on a declining trend said the source ,negative
,in the wake of the new york times story amazon ceo andy jassy on november in a public message to employees confirmed that layoffs were occurring though he did not specify the planned number of employees to be laid off,negative
,jassy elaborated on the layoffs this wednesday during an interview at the new york times dealbook conference saying we just felt like we needed to streamline our costs ,positive
,amazons retail business grew quickly during the early days of the pandemic which forced us to make decisions at that time to spend a lot more money and to go much faster in building infrastructure than we ever imagined we would jassy said at the conference,positive
,we knew we might be overbuilding jassy said ,negative
,at amazon even its most profitable business and cloud services division amazon web services aws has been showing signs of slowing growth since the beginning of this fiscal year reporting revenue growth of year on year for the quarter ended september compared to and year on year growth for the prior two quarters respectively,positive
,during its third quarter earnings call with analysts attributed the decline in growth to macroeconomic conditions that were forcing amazon customers to cut down on expenditures to save money in the short run,negative
